tanggal,tn,tx,tavg,rh_avg,rr,ss,ddd_x,ddd_car,ff_x,ff_avg
2020-08-09,24.4,36.2,29.5,80,0.0,6.4,290,C ,6,1
2020-08-10,24.8,36.2,29.0,77,0.0,,200,C ,9,2
2020-08-11,24.6,33.8,28.1,86,0.0,8.5,60,C ,6,1
2020-08-12,23.2,30.6,26.1,93,47.0,2.1,60,C ,2,0
2020-08-13,23.6,,26.6,86,2.0,0.1,230,C ,10,2
2020-08-14,22.6,,28.0,82,18.4,6.5,100,C ,4,1
2020-08-15,23.8,33.2,28.8,82,0.0,4.5,300,C ,4,1
2020-08-16,25.0,33.8,28.8,83,0.0,3.5,50,C ,6,1
2020-08-17,24.6,34.0,26.9,87,,3.1,290,C ,7,1
2020-08-18,24.0,34.2,26.7,85,19.5,5.6,40,C ,4,1
2020-08-19,,33.2,27.5,85,9.7,6.5,200,C ,4,1
2020-08-20,23.8,34.2,28.8,82,1.5,2.7,110,C ,5,1
2020-08-21,23.8,32.2,27.4,88,0.0,3.1,330,C ,5,1
2020-08-22,25.4,31.4,25.9,90,2.6,0.5,300,C ,3,1
2020-08-23,23.2,33.4,27.7,82,3.9,1.2,170,E ,5,2
2020-08-24,,34.2,28.5,81,21.8,,50,C ,4,1
2020-08-25,23.7,34.4,28.0,82,0.0,7.8,40,C ,4,1
2020-08-26,23.4,34.0,27.8,84,0.0,4.5,330,C ,4,1
2020-08-27,24.6,32.8,26.8,88,,5.7,130,C ,7,2
2020-08-28,23.8,31.6,27.4,85,30.3,4.4,30,C ,2,0
2020-08-29,23.8,33.2,27.7,84,,,110,C ,4,1
2020-08-30,23.6,31.8,27.8,85,0.0,1.3,50,C ,4,0
2020-08-31,24.9,32.0,26.3,91,0.0,1.2,240,C ,9,1
2020-09-01,24.2,35.4,29.0,80,30.0,2.7,20,C ,3,1
2020-09-02,24.3,34.7,27.5,81,,6.3,250,C ,10,2
2020-09-03,23.4,34.2,29.2,80,4.8,7.7,260,C ,3,1
2020-09-04,,31.0,26.5,90,5.4,7.8,90,C ,4,1
2020-09-05,,34.2,26.9,86,6.0,1.0,60,C ,5,2
2020-09-06,23.3,32.4,25.7,89,31.0,5.0,290,C ,9,1
2020-09-07,23.6,33.3,28.0,80,16.9,2.0,60,C ,6,2
2020-09-08,23.6,35.6,28.4,79,,6.2,240,C ,7,2
2020-09-09,23.2,30.2,26.6,90,8.0,8.2,180,C ,2,0
2020-09-10,,34.8,27.4,85,10.9,0.2,130,C ,6,1
2020-09-11,23.4,32.0,26.9,87,27.2,5.7,270,C ,3,1
2020-09-12,23.8,30.8,26.4,89,2.2,4.4,270,C ,3,1
2020-09-13,23.4,31.3,27.3,85,8.3,0.5,60,C ,3,1
2020-09-14,23.8,33.2,26.0,89,,1.7,260,C ,6,1
2020-09-15,22.4,32.2,26.5,89,27.2,2.5,100,C ,6,0
2020-09-16,23.4,33.2,28.5,84,7.6,2.1,40,C ,4,1
2020-09-17,24.2,34.0,28.3,81,,4.0,250,C ,8,2
2020-09-18,23.1,32.0,27.9,83,43.7,4.2,260,C ,4,1
2020-09-19,24.0,34.0,28.2,82,,1.0,200,C ,4,1
2020-09-20,24.6,34.2,28.6,84,,3.5,80,C ,6,2
2020-09-21,24.2,34.2,29.3,80,,2.0,50,C ,3,1
2020-09-22,25.5,33.8,29.1,82,,3.4,50,C ,4,1
2020-09-23,25.4,33.2,27.2,86,0.0,2.5,280,C ,6,1
2020-09-24,24.2,33.2,26.0,90,2.8,2.5,220,C ,9,2
2020-09-25,23.0,33.2,26.3,89,25.5,1.7,290,C ,2,0
2020-09-26,23.1,32.0,27.2,86,,1.2,30,C ,4,1
2020-09-27,23.2,33.6,28.2,80,,1.8,40,C ,5,2
2020-09-28,24.2,35.0,29.1,77,0.0,6.3,70,C ,4,1
2020-09-29,24.2,32.0,26.0,90,2.0,5.8,280,C ,14,2
2020-09-30,22.6,29.4,26.6,88,76.4,3.5,240,C ,2,0
2020-10-01,24.0,30.4,27.4,88,,1.5,250,C ,3,0
2020-10-02,24.2,32.0,26.3,89,2.8,1.1,290,C ,7,1
2020-10-03,23.3,32.0,26.5,88,7.3,1.5,80,C ,4,1
2020-10-04,23.4,33.0,26.5,87,30.0,0.5,250,C ,8,2
2020-10-05,23.4,32.6,27.5,84,73.5,3.8,40,C ,4,1
2020-10-06,24.2,32.2,27.4,85,0.0,2.4,290,C ,6,1
2020-10-07,24.4,32.2,28.0,82,,3.0,280,C ,4,1
2020-10-08,25.0,,28.9,80,1.0,1.0,50,C ,4,1
2020-10-09,24.4,34.0,28.8,77,0.0,4.7,270,C ,6,2
2020-10-10,25.1,32.0,28.2,80,0.0,5.3,250,C ,4,1
2020-10-11,24.8,32.8,28.7,83,1.1,0.1,80,C ,4,1
2020-10-12,24.8,33.0,26.7,90,0.0,1.5,180,C ,3,1
2020-10-13,24.4,32.0,26.2,89,39.4,3.6,90,C ,4,1
2020-10-14,23.6,34.0,26.5,86,14.2,1.8,230,C ,10,2
2020-10-15,23.2,33.0,27.7,87,25.5,5.6,220,C ,4,1
2020-10-16,23.6,34.0,28.6,83,30.0,4.6,50,C ,6,1
2020-10-17,24.8,34.6,29.0,73,7.0,5.1,230,C ,8,2
2020-10-18,24.8,33.8,28.9,78,0.0,6.9,280,C ,4,0
2020-10-19,,34.1,27.7,84,,1.5,260,C ,6,2
2020-10-20,24.2,34.2,28.4,80,26.1,4.6,40,C ,5,1
2020-10-21,24.1,32.4,27.1,85,,4.8,220,C ,7,2
2020-10-22,23.1,31.0,26.9,87,66.0,0.7,360,C ,5,1
2020-10-23,23.0,32.2,26.6,88,0.0,0.0,30,C ,3,1
2020-10-24,23.8,32.2,26.2,88,11.8,1.6,180,C ,8,1
2020-10-25,23.4,32.9,26.6,86,72.1,1.7,300,C ,8,1
2020-10-26,23.6,29.6,26.6,90,35.1,1.2,110,C ,3,0
2020-10-27,23.2,34.4,28.5,81,0.0,0.0,50,C ,3,1
2020-10-28,,34.8,28.7,80,0.2,8.5,40,C ,7,1
2020-10-29,23.8,33.4,27.9,79,1.1,7.0,140,C ,8,1
2020-10-30,24.0,35.0,27.6,80,5.0,5.2,270,C ,9,2
2020-10-31,23.8,32.4,26.7,84,16.5,7.7,190,C ,6,2
2020-11-01,24.0,32.2,27.0,87,19.5,3.0,200,C ,2,0
2020-11-02,23.9,31.0,27.3,84,1.3,1.2,280,C ,4,1
2020-11-03,24.0,31.8,26.4,86,0.0,2.2,320,C ,6,1
2020-11-04,23.2,31.4,26.4,86,10.7,2.3,340,C ,4,1
2020-11-05,23.2,33.0,26.6,86,26.6,3.0,250,C ,8,1
2020-11-06,23.2,32.0,26.6,89,20.0,5.4,70,C ,4,1
2020-11-07,23.8,,25.6,92,54.9,3.1,220,C ,4,1
2020-11-08,24.0,31.0,26.6,88,29.2,1.8,350,C ,6,2
2020-11-09,,29.6,26.4,88,14.5,2.2,270,C ,3,1
2020-11-10,24.0,30.4,27.4,86,0.0,0.0,80,C ,4,1
2020-11-11,24.8,33.2,28.3,81,0.0,0.9,50,C ,5,1
2020-11-12,25.2,28.4,25.8,92,,5.1,80,C ,9,1
2020-11-13,24.2,31.2,26.6,88,1.6,0.0,260,C ,5,1
2020-11-14,23.2,33.0,28.0,83,10.3,1.9,50,C ,4,1
2020-11-15,23.6,30.8,26.6,90,,5.6,260,C ,3,0
2020-11-16,23.2,32.6,27.2,84,7.3,3.1,90,C ,10,1
2020-11-17,22.8,33.0,27.7,80,12.5,3.2,50,C ,3,0
2020-11-18,22.8,33.0,26.8,87,12.0,5.0,20,C ,6,2
2020-11-19,24.4,32.6,27.6,83,,3.1,10,C ,3,1
2020-11-20,24.0,32.4,27.4,83,0.5,5.5,220,NE,7,2
2020-11-21,24.0,31.8,27.2,82,1.2,2.8,240,C ,5,1
2020-11-22,23.8,,25.8,90,18.3,2.5,290,SW,5,2
2020-11-23,24.0,29.8,25.5,92,2.8,0.2,30,C ,6,1
2020-11-24,23.8,28.8,25.8,88,18.3,1.3,260,C ,6,1
2020-11-25,23.4,31.6,27.7,80,11.8,1.4,310,C ,5,2
2020-11-26,23.4,31.2,26.6,85,0.0,3.9,300,C ,5,1
2020-11-27,23.8,32.2,26.0,88,10.9,3.5,290,C ,3,0
2020-11-28,23.2,32.0,26.9,86,46.6,1.5,100,C ,3,1
2020-11-29,24.6,31.8,27.5,84,5.8,2.4,310,C ,4,0
2020-11-30,24.2,32.6,27.3,83,0.0,2.6,250,C ,4,2
2020-12-01,24.0,31.9,27.6,83,5.5,1.6,230,C ,6,2
2020-12-02,23.8,33.0,26.8,85,1.0,2.7,310,C ,5,2
2020-12-03,23.8,32.4,26.9,86,16.9,6.8,10,C ,5,2
2020-12-04,23.6,,25.6,90,43.0,4.2,200,C ,4,1
2020-12-05,23.2,32.4,25.8,91,24.5,1.1,80,E ,9,2
2020-12-06,23.2,31.6,26.1,90,51.4,2.2,350,C ,4,1
2020-12-07,23.6,32.4,26.8,84,4.5,4.7,80,C ,5,1
2020-12-08,23.2,29.8,26.7,88,0.5,3.4,340,C ,4,1
2020-12-09,23.8,32.2,27.4,81,3.6,1.0,360,C ,5,1
2020-12-10,23.6,32.4,26.4,85,0.0,4.0,280,C ,4,1
2020-12-11,23.4,31.4,27.3,82,33.0,3.6,290,C ,3,1
2020-12-12,24.0,32.3,26.8,81,0.1,1.2,210,W ,8,3
2020-12-13,23.0,31.2,26.9,82,42.5,3.7,10,C ,5,1
2020-12-14,22.3,32.4,28.0,76,,2.3,290,C ,4,1
2020-12-15,23.6,32.0,27.1,83,,7.5,130,C ,5,2
2020-12-16,23.2,,27.2,79,2.6,6.3,290,C ,4,1
2020-12-17,23.2,32.4,27.0,82,5.5,7.1,10,C ,7,2
2020-12-18,24.2,33.0,26.0,85,0.0,5.8,270,C ,5,1
2020-12-19,24.0,31.0,26.9,82,1.5,0.0,250,C ,4,1
