tanggal,curah_hujan,suhu_udara,kelembapan_udara
2021-10-30,1.0,29.9,73.0
2021-10-31,29.5,27.8,80.0
2021-11-01,1.6,29.6,73.0
2021-11-02,17.6,28.0,82.0
2021-11-03,26.9,28.2,76.0
2021-11-04,1.7,28.1,77.0
2021-11-05,0.0,30.2,70.0
2021-11-06,18.2,28.9,77.0
2021-11-07,22.8,29.3,76.0
2021-11-08,0.0,29.3,78.0
2021-11-09,18.3,30.7,68.0
2021-11-10,15.5,28.4,80.0
2021-11-11,11.8,28.4,78.0
2021-11-12,3.5,27.9,78.0
2021-11-13,1.8,29.1,73.0
2021-11-14,0.0,29.9,74.0
2021-11-15,5.4,29.7,77.0
2021-11-16,17.8,29.9,73.0
2021-11-17,22.0,27.8,79.0
2021-11-18,1.4,28.4,80.0
2021-11-19,1.0,28.8,77.0
2021-11-20,1.0,29.2,75.0
2021-11-21,4.1,28.2,80.0
2021-11-22,7.2,29.8,73.0
2021-11-23,10.3,28.2,78.0
2021-11-24,13.4,28.2,82.0
2021-11-25,16.5,28.8,74.0
2021-11-26,19.6,27.8,80.0
2021-11-27,1.0,28.9,74.0
2021-11-28,0.8,28.2,79.0
2021-11-29,8.0,28.4,78.0
2021-11-30,0.0,28.5,80.0
2021-12-01,5.2,29.7,76.0
2021-12-02,0.0,28.1,79.0
2021-12-03,5.5,27.9,80.0
2021-12-04,0.0,29.1,70.0
2021-12-05,0.0,26.8,84.0
2021-12-06,2.3,28.3,77.0
2021-12-07,0.0,28.5,74.0
2021-12-08,0.4,29.5,70.0
2021-12-09,0.0,29.2,74.0
2021-12-10,17.0,25.7,91.0
2021-12-11,6.5,29.1,75.0
2021-12-12,2.0,26.3,88.0
2021-12-13,4.0,28.4,78.0
2021-12-14,0.0,28.4,81.0
2021-12-15,0.5,28.7,79.0
2021-12-16,0.5,28.1,84.0
2021-12-17,0.5,26.3,91.0
